feature,importance
rank_diff,0.0733022906596926
wins_w,0.07232268512348618
wins_l,0.0708477315790187
matches_played_w,0.06907948133607515
matches_played_l,0.06445770915549817
win_percentage_w,0.0644162898355867
win_percentage_l,0.06019136996649942
player2_rank_points,0.04404562088558741
player1_rank,0.04249769013864998
player1_rank_points,0.04203253214454585
player2_rank,0.041103349729717006
player2_ace,0.039325136384082304
player1_ace,0.038158019926136696
age_diff,0.030420340438201573
player2_age,0.02982735195367389
player1_age,0.029403401683808093
player2_df,0.024647587966272266
player1_df,0.023753130903663357
player1_ioc,0.021141236308850186
player2_ioc,0.021006253216017966
height_diff,0.02062335359158756
player1_ht,0.019604006673503493
player2_ht,0.019131563046855014
player2_seed,0.014059714565957145
player1_seed,0.013105569787970119
tourney_level,0.0051887647407926766
surface,0.004337348228847225
best_of,0.00197047002942325
